"timeindex" "Y" "nsmY" "x" "y"
317 -0.524329539885355 0.0186011966802189 317 -0.542930736565574
318 -0.469987581654325 0.0700213310506526 318 -0.540008912704978
319 -0.660547008456289 -0.123465130691173 319 -0.537081877765116
320 -0.580672141929082 -0.0465224947104236 320 -0.534149647218658
321 -0.51789646809701 0.0133157684477478 321 -0.531212236544758
322 -0.583806926774437 -0.0555372655469548 322 -0.528269661227482
323 -0.617008804400863 -0.0916868676466072 323 -0.525321936754256
324 -0.631525822560001 -0.109156743945668 324 -0.522369078614333
325 -0.40679858952737 0.112612512769915 325 -0.519411102297285
326 -0.585005448944307 -0.0685574256527907 326 -0.516448023291516
327 -0.583417955441644 -0.0699380983588469 327 -0.513479857082797
328 -0.620904741019783 -0.110398121866945 328 -0.510506619152838
329 -0.593719790098881 -0.0861914651210295 329 -0.507528324977851
330 -0.592481897841621 -0.0879369078144329 330 -0.504544990027188
331 -0.427758496166485 0.0737981335954665 331 -0.501556629761951
332 -0.48336628026244 0.0151969793712395 332 -0.498563259633679
333 -0.530982747599368 -0.0354178525163584 333 -0.49556489508301
334 -0.525492937301644 -0.0329313857632306 334 -0.492561551538413
335 -0.584624428615067 -0.095071184200137 335 -0.48955324441493
336 -0.644080797133083 -0.157540808020148 336 -0.486539989112935
337 -0.620068086496166 -0.136546285479222 337 -0.483521801016944
338 -0.341717426242799 0.13878126925164 338 -0.480498695494439
339 -0.348930089439282 0.128540598455439 339 -0.477470687894721
340 -0.617497033573007 -0.143059240025209 340 -0.474437793547798
341 -0.480397297093854 -0.00899726933055262 341 -0.471400027763301
342 -0.49525276377964 -0.0268953579502013 342 -0.468357405829439
343 -0.531022187750245 -0.065712244738284 343 -0.465309943011961
344 -0.718516880123252 -0.256259225570078 344 -0.462257654553174
345 -0.485632616573075 -0.0264320609020881 345 -0.459200555670987
346 -0.654821010095707 -0.198682348537732 346 -0.456138661557975
347 -0.553116868403834 -0.100044881023342 347 -0.453071987380492
348 -0.516375598498361 -0.0663750502205578 348 -0.450000548277803
349 -0.363461735790237 0.0834626235710234 349 -0.44692435936126
350 -0.426493895156167 0.017349540557335 350 -0.443843435713502
351 -0.437032628773222 0.00372516361447106 351 -0.440757792387693
352 -0.339120039493847 0.0985474049129588 352 -0.437667444406806
353 -0.501363673978815 -0.0667912672159041 353 -0.434572406762911
354 -0.419454431724785 0.0120182626917508 354 -0.431472694416536
